video	frame	outline_conf	diameter	eyelids	major_axis	minor_axis
Braley_171_705_323	Braley_171_705_323_0074_face	1.0	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0075_face	1.0	15	0.0	15	14
Braley_171_705_323	Braley_171_705_323_0076_face	1.0	15	0.0	15	14
Braley_171_705_323	Braley_171_705_323_0077_face	1.0	15	0.0	15	14
Braley_171_705_323	Braley_171_705_323_0078_face	0.7647058963775635	20	0.0	20	7
Braley_171_705_323	Braley_171_705_323_0079_face	0.7575757503509521	29	0.0	29	12
Braley_171_705_323	Braley_171_705_323_0080_face	0.6944444179534912	32	0.0	32	31
Braley_171_705_323	Braley_171_705_323_0081_face	0.78125	19	0.0	19	10
Braley_171_705_323	Braley_171_705_323_0082_face	0.7428571581840515	31	0.0	31	20
Braley_171_705_323	Braley_171_705_323_0083_face	0.8181818127632141	34	0.0	34	21
Braley_171_705_323	Braley_171_705_323_0084_face	0.7777777910232544	33	0.0	33	28
Braley_171_705_323	Braley_171_705_323_0085_face	0.9117646813392639	16	0.0	16	14
Braley_171_705_323	Braley_171_705_323_0086_face	0.7575757503509521	33	0.0	33	25
Braley_171_705_323	Braley_171_705_323_0087_face	0.9411764740943909	17	0.0	17	15
Braley_171_705_323	Braley_171_705_323_0088_face	0.78125	19	0.0	19	10
Braley_171_705_323	Braley_171_705_323_0089_face	0.7878788113594055	20	0.0	20	9
Braley_171_705_323	Braley_171_705_323_0090_face	0.7647058963775635	19	0.0	19	15
Braley_171_705_323	Braley_171_705_323_0091_face	0.8181818127632141	27	0.0	27	13
Braley_171_705_323	Braley_171_705_323_0092_face	0.8181818127632141	21	0.0	21	7
Braley_171_705_323	Braley_171_705_323_0093_face	1.0	16	0.0	16	13
Braley_171_705_323	Braley_171_705_323_0094_face	0.9090909361839294	39	0.0	39	28
Braley_171_705_323	Braley_171_705_323_0095_face	0.9696969985961914	16	0.0	16	14
Braley_171_705_323	Braley_171_705_323_0096_face	1.0	29	0.0	29	14
Braley_171_705_323	Braley_171_705_323_0097_face	0.8787878751754761	28	0.0	28	13
Braley_171_705_323	Braley_171_705_323_0098_face	0.7352941036224365	33	0.0	33	30
Braley_171_705_323	Braley_171_705_323_0099_face	0.6944444179534912	33	0.0	33	31
Braley_171_705_323	Braley_171_705_323_0100_face	0.7428571581840515	31	0.0	31	22
Braley_171_705_323	Braley_171_705_323_0101_face	0.6470588445663452	38	0.0	38	23
Braley_171_705_323	Braley_171_705_323_0102_face	0.7714285850524902	34	0.0	34	25
Braley_171_705_323	Braley_171_705_323_0103_face	0.7419354915618896	18	0.0	18	9
Braley_171_705_323	Braley_171_705_323_0104_face	0.7714285850524902	21	0.0	21	9
Braley_171_705_323	Braley_171_705_323_0105_face	0.875	20	0.0	20	9
Braley_171_705_323	Braley_171_705_323_0106_face	0.7575757503509521	20	0.0	20	7
Braley_171_705_323	Braley_171_705_323_0107_face	0.8125	28	0.0	28	13
Braley_171_705_323	Braley_171_705_323_0108_face	0.9696969985961914	16	0.0	16	15
Braley_171_705_323	Braley_171_705_323_0109_face	0.9696969985961914	16	0.0	16	15
Braley_171_705_323	Braley_171_705_323_0110_face	0.96875	14	0.0	14	11
Braley_171_705_323	Braley_171_705_323_0111_face	0.7878788113594055	21	0.0	21	9
Braley_171_705_323	Braley_171_705_323_0112_face	1.0	15	0.0	15	14
Braley_171_705_323	Braley_171_705_323_0113_face	1.0	15	0.0	15	14
Braley_171_705_323	Braley_171_705_323_0114_face	0.5714285969734192	35	0.0	35	19
Braley_171_705_323	Braley_171_705_323_0115_face	0.78125	20	0.0	20	9
Braley_171_705_323	Braley_171_705_323_0116_face	0.7714285850524902	39	0.0	39	21
Braley_171_705_323	Braley_171_705_323_0117_face	0.7941176295280457	33	0.0	33	20
Braley_171_705_323	Braley_171_705_323_0118_face	0.6969696879386902	19	0.0	19	16
Braley_171_705_323	Braley_171_705_323_0119_face	0.6969696879386902	20	0.0	20	14
Braley_171_705_323	Braley_171_705_323_0120_face	0.8787878751754761	16	0.0	16	13
Braley_171_705_323	Braley_171_705_323_0121_face	0.8888888955116272	38	0.0	38	28
Braley_171_705_323	Braley_171_705_323_0122_face	1.0	16	0.0	16	12
Braley_171_705_323	Braley_171_705_323_0123_face	0.9090909361839294	17	0.0	17	15
Braley_171_705_323	Braley_171_705_323_0124_face	0.8571428656578064	26	0.0	26	17
Braley_171_705_323	Braley_171_705_323_0125_face	0.8484848737716675	22	0.0	22	12
Braley_171_705_323	Braley_171_705_323_0126_face	0.8125	28	0.0	28	13
Braley_171_705_323	Braley_171_705_323_0127_face	0.7428571581840515	34	0.0	34	33
Braley_171_705_323	Braley_171_705_323_0128_face	0.8484848737716675	27	0.0	27	13
Braley_171_705_323	Braley_171_705_323_0129_face	0.9696969985961914	15	0.0	15	11
Braley_171_705_323	Braley_171_705_323_0130_face	0.8285714387893677	38	0.0	38	17
Braley_171_705_323	Braley_171_705_323_0131_face	0.90625	14	0.0	14	11
Braley_171_705_323	Braley_171_705_323_0132_face	0.8235294222831726	40	0.0	40	34
Braley_171_705_323	Braley_171_705_323_0133_face	0.7142857313156128	32	0.0	32	27
Braley_171_705_323	Braley_171_705_323_0134_face	0.7142857313156128	32	0.0	32	27
Braley_171_705_323	Braley_171_705_323_0135_face	0.9117646813392639	14	0.0	14	12
Braley_171_705_323	Braley_171_705_323_0136_face	0.96875	14	0.0	14	12
Braley_171_705_323	Braley_171_705_323_0137_face	0.875	27	0.0	27	13
Braley_171_705_323	Braley_171_705_323_0138_face	0.90625	15	0.0	15	11
Braley_171_705_323	Braley_171_705_323_0139_face	0.7777777910232544	34	0.0	34	31
Braley_171_705_323	Braley_171_705_323_0140_face	0.7714285850524902	38	0.0	38	32
Braley_171_705_323	Braley_171_705_323_0141_face	0.6857143044471741	38	0.0	38	29
Braley_171_705_323	Braley_171_705_323_0142_face	0.7428571581840515	34	0.0	34	20
Braley_171_705_323	Braley_171_705_323_0143_face	0.0	14	0.0	14	11
Braley_171_705_323	Braley_171_705_323_0144_face	0.84375	18	0.0	18	14
Braley_171_705_323	Braley_171_705_323_0145_face	0.6176470518112183	25	0.0	25	15
Braley_171_705_323	Braley_171_705_323_0146_face	0.6764705777168274	28	0.0	28	17
Braley_171_705_323	Braley_171_705_323_0147_face	0.6764705777168274	28	0.0	28	17
Braley_171_705_323	Braley_171_705_323_0148_face	0.8235294222831726	22	0.0	22	19
Braley_171_705_323	Braley_171_705_323_0149_face	0.9696969985961914	15	0.0	15	13
Braley_171_705_323	Braley_171_705_323_0150_face	0.0	17	0.0	17	8
Braley_171_705_323	Braley_171_705_323_0151_face	0.7647058963775635	19	0.0	19	8
Braley_171_705_323	Braley_171_705_323_0152_face	0.7878788113594055	35	0.0	35	32
Braley_171_705_323	Braley_171_705_323_0153_face	0.9090909361839294	16	0.0	16	11
Braley_171_705_323	Braley_171_705_323_0154_face	1.0	14	0.0	14	13
Braley_171_705_323	Braley_171_705_323_0155_face	0.9090909361839294	14	0.0	14	12
Braley_171_705_323	Braley_171_705_323_0156_face	0.9696969985961914	15	0.0	15	12
Braley_171_705_323	Braley_171_705_323_0157_face	1.0	15	0.0	15	14
Braley_171_705_323	Braley_171_705_323_0158_face	0.9411764740943909	15	0.0	15	13
